Genus,Caldisericum,Coprothermobacter,Dictyoglomus,Calditerrivibrio,Denitrovibrio,Deferribacter,Flexistipes,Caldithrix,Desulfurispirillum,Thermovibrio,Desulfurobacterium,Persephonella,Sulfurihydrogenibium,None,Hydrogenobacter,Aquifex,Hydrogenobaculum,Thermocrinis,Fibrobacter,Ignavibacterium,Melioribacter,Thermodesulfobacterium,Thermodesulfatator,Caldimicrobium,Kosmotoga,Mesotoga,None.1,None.2,None.3,Thermosipho,Fervidobacterium,Thermotoga,Pseudothermotoga,Elusimicrobium,Endomicrobium,Leptospirillum,Thermodesulfovibrio,Nitrospira,None.4,None.5,Candidatus_Solibacter,Candidatus_Koribacter,Granulicella,Terriglobus,Acidobacterium,Brachyspira,None.6,None.7,Borrelia,Borreliella,Salinispira,Sediminispirochaeta,Spirochaeta,Sphaerochaeta,Treponema,Sneathia,Streptobacillus,Leptotrichia,Sebaldella,Ilyobacter,Fusobacterium,Chlamydia,Waddlia,Simkania,Candidatus_Protochlamydia,Parachlamydia,Kiritimatiella,Phycisphaera,Candidatus_Kuenenia,Isosphaera,Paludisphaera,Singulisphaera,Gemmata,Thermogutta,Pirellula,Rubinisphaera,Planctopirus,Rhodopirellula,Planctomyces,Fuerstia,None.8,Gemmatimonas,Gemmatirosa,Chloroherpeton,Prosthecochloris,Chlorobium,Pelodictyon,Chlorobaculum,None.9,Fimbriimonas,Chthonomonas,Candidatus_Promineofilum,Caldilinea,Chloroflexus,Roseiflexus,Thermomicrobium,Sphaerobacter,Brevefilum,Anaerolinea,None.10,Dehalococcoides,None.11,Candidatus_Phytoplasma,Acholeplasma,Mesoplasma,Entomoplasma,Spiroplasma,Ureaplasma,Mycoplasma,Marinithermus,Meiothermus,Oceanithermus,Thermus,Deinococcus,Truepera,None.12,None.13,None.14,None.15,Gloeobacter,None.16,None.17,None.18,None.19,None.20,None.21,None.22,None.23,None.24,None.25,None.26,None.27,None.28,None.29,None.30,None.31,None.32,None.33,None.34,None.35,None.36,None.37,None.38,None.39,None.40,None.41,None.42,None.43,None.44,None.45,None.46,None.47,None.48,None.49,None.50,None.51,None.52,None.53,None.54,None.55,Thermovirga,Acetomicrobium,Aminobacterium,Jonquetella,Thermanaerovibrio,Aminomonas,Cloacibacillus,Hydrogenophilus,Mariprofundus,Acidithiobacillus,Halobacteriovorax,Bacteriovorax,Bdellovibrio,Parvularcula,None.56,Candidatus_Pelagibacter,Magnetococcus,Candidatus_Paracaedibacter,Candidatus_Nucleicultrix,None.57,Candidatus_Midichloria,Neorickettsia,Ehrlichia,Anaplasma,Wolbachia,Candidatus_Phycorickettsia,Orientia,Rickettsia,Asticcacaulis,Brevundimonas,Caulobacter,Phenylobacterium,None.58,None.59,None.60,Hirschia,Hyphomonas,Maricaulis,Jannaschia,Stappia,Roseibacterium,Pseudovibrio,Ketogulonicigenium,Gemmobacter,Octadecabacter,Pelagibaca,Leisingera,Thioclava,Epibacterium,Roseovarius,Roseobacter,Marinovum,Antarctobacter,Defluviimonas,Confluentimicrobium,Brevirhabdus,Labrenzia,Tateyamaria,Yangia,Yoonia,Ruegeria,Sagittula,Rhodovulum,Phaeobacter,Thalassococcus,Halocynthiibacter,Rhodobaca,Marivivens,Dinoroseobacter,Celeribacter,Salipiger,Sulfitobacter,Paracoccus,Rhodobacter,Pannonibacter,Porphyrobacter,Erythrobacter,Altererythrobacter,Croceicoccus,Blastomonas,Citromicrobium,Sphingorhabdus,Zymomonas,Rhizorhabdus,Novosphingobium,Sphingopyxis,Sphingomonas,Sphingobium,Acidisphaera,Kozakia,Parasaccharibacter,Asaia,Gluconobacter,Neoasaia,Gluconacetobacter,Komagataeibacter,Granulibacter,Roseomonas,Acetobacter,Haematospirillum,Candidatus_Endolissoclinum,Nitrospirillum,Niveispirillum,Thalassospira,Magnetospira,Pararhodospirillum,Rhodospirillum,Tistrella,Magnetospirillum,Azospirillum,Beijerinckia,Methylocella,Parvibaculum,Anderseniella,Candidatus_Phaeomarinobacter,Chelatococcus,Pseudolabrys,Starkeya,Azorhizobium,Xanthobacter,Ochrobactrum,Brucella,Aureimonas,Martelella,None.61,None.62,Cohaesibacter,Breoghania,None.63,Methylosinus,Methylocystis,Bartonella,Chelativorans,Hoeflea,Phyllobacterium,Aminobacter,Nitratireductor,Mesorhizobium,Methylorubrum,Microvirga,Methylobacterium,Maritalea,Filomicrobium,Pelagibacterium,Hyphomicrobium,Rhodoplanes,Rhodomicrobium,Devosia,Blastochloris,Variibacter,Nitrobacter,Bosea,Afipia,Rhodopseudomonas,Bradyrhizobium,Liberibacter,Shinella,Ensifer,Sinorhizobium,Neorhizobium,Agrobacterium,Rhizobium,None.64,None.65,Thiobacillus,Nitrosomonas,Nitrosospira,Sideroxydans,Sulfuriferula,Ferriphaselus,Gallionella,Sulfuricella,Methylovorus,Methylophilus,Methylobacillus,Candidatus_Methylopumilus,Methylotenera,Sulfuritalea,Methyloversatilis,Aromatoleum,Azospira,Dechloromonas,Azoarcus,Thauera,Pseudogulbenkiania,Microvirgula,Jeongeupia,Aquitalea,Vogesella,Laribacter,Aquaspirillum,Chromobacterium,Kingella,Eikenella,Simonsiella,Snodgrassella,Vitreoscilla,Crenobacter,Neisseria,None.66,None.67,None.68,Sutterella,Basilea,Oligella,Taylorella,Pusillimonas,Paenalcaligenes,Advenella,Castellaniella,Alcaligenes,Orrella,Achromobacter,Bordetella,Diaphorobacter,Candidatus_Symbiobacter,Ramlibacter,Verminephrobacter,Simplicispira,Ottowia,Melaminivora,Delftia,Limnohabitans,Polaromonas,Curvibacter,Alicycliphilus,Hydrogenophaga,Rhodoferax,Comamonas,Variovorax,Acidovorax,None.69,None.70,None.71,None.72,None.73,None.74,Paucimonas,Hydromonas,Polynucleobacter,Pandoraea,Ralstonia,Paraburkholderia,Cupriavidus,Burkholderia,Herminiimonas,Janthinobacterium,Collimonas,Massilia,Herbaspirillum,Oxalobacter,Nautilia,None.75,None.76,None.77,Sulfuricurvum,Wolinella,Sulfurimonas,Helicobacter,Haloarcobacter,Aliiarcobacter,Pseudoarcobacter,Sulfurospirillum,Arcobacter,Malacobacter,Campylobacter,None.78,None.79,Desulfurella,Hippea,Bradymonas,Syntrophobacter,Desulfobacca,Desulfomonile,Syntrophus,Desulfarculus,Haliangium,Sandaracinus,Pajaroellobacter,Chondromyces,Sorangium,Vulgatibacter,Cystobacter,Archangium,Stigmatella,Melittangium,Anaeromyxobacter,Corallococcus,Myxococcus,Pelobacter,Desulfuromonas,Geoalkalibacter,Geobacter,Desulfobacula,Desulfobacterium,Desulfatibacillum,Desulfobacter,Desulfococcus,Desulfocapsa,Desulfotalea,Desulfurivibrio,Desulfobulbus,Desulfohalobium,Desulfomicrobium,Lawsonia,Pseudodesulfovibrio,Desulfovibrio,Dichelobacter,None.80,None.81,Frischella,Gilliamella,Solimonas,Steroidobacter,Coxiella,Tatlockia,Fluoribacter,Legionella,Thioploca,Beggiatoa,Hydrogenovibrio,Cycloclasticus,Thiomicrospira,Piscirickettsia,Methylophaga,Allofrancisella,Francisella,None.82,None.83,None.84,Sulfurifustis,Sulfuricaulis,Acidiferrobacter,Immundisolibacter,Salinisphaera,Methylomicrobium,Methylomonas,Methylovulum,Methylococcus,Methylocaldum,Oceanicoccus,Spongiibacter,Zhongshania,Saccharophagus,Agarilytica,Cellvibrio,Simiduia,Teredinibacter,Congregibacter,Halioglobus,Microbulbifer,None.85,None.86,Basfia,Gallibacterium,Mannheimia,Glaesserella,Pasteurella,Aggregatibacter,Actinobacillus,Bibersteinia,Haemophilus,Histophilus,Thalassotalea,Colwellia,Moritella,Idiomarina,Psychromonas,Ferrimonas,Pseudoalteromonas,Shewanella,Paraglaciecola,Agarivorans,Lacimicrobium,Catenovulum,Glaciecola,Salinimonas,Alteromonas,Marinobacter,Woeseia,Halothiobacillus,Wenzhouxiangella,Granulosicoccus,Spiribacter,Halorhodospira,Thioalkalivibrio,Ectothiorhodospira,Alkalilimnicola,Acidihalobacter,Candidatus_Nitrosoglobus,Marichromatium,Allochromatium,Thiocystis,Thioflavicoccus,Thiodictyon,Nitrosococcus,Kangiella,Gynuella,Saccharospirillum,Reinekea,Oleiphilus,Endozoicomonas,Hahella,Alcanivorax,Ketobacter,Bacterioplanes,Oleispira,Thalassolituus,Marinomonas,Marinobacterium,Candidatus_Portiera,Candidatus_Evansia,Chromohalobacter,Zymobacter,Halotalea,Kushneria,Cobetia,Salinicola,Halomonas,Tolumonas,Oceanisphaera,Oceanimonas,Zobellella,Aeromonas,Enterovibrio,Paraphotobacterium,Grimontia,Aliivibrio,Vibrio,Photobacterium,Rhodanobacter,Frateuria,Ahniella,Dyella,Dokdonella,Luteibacter,Luteimonas,Xylella,Pseudoxanthomonas,Lysobacter,Xanthomonas,Stenotrophomonas,Moraxella,Psychrobacter,Acinetobacter,Azotobacter,Oblitimonas,Pseudomonas,None.87,None.88,Pragia,Leminorella,Obesumbacterium,Hafnia,Edwardsiella,Wigglesworthia,Buchnera,Erwinia,Tatumella,Pantoea,Arsenophonus,Photorhabdus,Xenorhabdus,Proteus,Providencia,Morganella,Lonsdalea,Sodalis,Brenneria,Pectobacterium,Dickeya,Candidatus_Fukatsuia,Chania,Rahnella,Serratia,Yersinia,Candidatus_Tachikawaea,Candidatus_Gullanella,Candidatus_Ishikawaella,Candidatus_Doolittlea,Candidatus_Riesia,Gibbsiella,Limnobaculum,Kluyvera,Leclercia,Candidatus_Blochmannia,Candidatus_Hamiltonella,Cronobacter,Pluralibacter,Cedecea,Kosakonia,Shimwellia,Lelliottia,Raoultella,Citrobacter,Shigella,Klebsiella,Enterobacter,Salmonella,Escherichia,Haliscomenobacter,Saprospira,None.89,None.90,Pseudopedobacter,Solitalea,Sphingobacterium,Mucilaginibacter,Pedobacter,Pseudoflavitalea,Arachidicoccus,Filimonas,Niabella,Niastella,Chitinophaga,Flavisolibacter,Bernardetia,Candidatus_Cardinium,Candidatus_Amoebophilus,None.91,Persicobacter,Aquiflexum,Belliella,Cyclobacterium,Echinicola,Algoriphagus,Marivirga,Flammeovirga,Pseudarcicella,Cytophaga,Runella,Leadbetterella,Dyadobacter,Fibrella,Arcticibacterium,Spirosoma,Rufibacter,Pontibacter,Hymenobacter,None.92,Ichthyobacterium,Owenweeksia,None.93,Blattabacterium,Fluviicola,Croceibacter,Formosa,Flagellimonas,Psychroflexus,Weeksella,Winogradskyella,Arenibacter,Muricauda,Tamlana,Zobellia,Kordia,Gillisia,Flavivirga,Wenyingzhuangia,Sediminicola,Algibacter,Seonamhaeicola,Lacinutrix,Aequorivita,Gilvibacter,Lutibacter,Tenacibaculum,Olleya,Nonlabens,Zunongwangia,Aquimarina,Cellulophaga,Robiginitalea,Gramella,Salegentibacter,Siansivirga,Elizabethkingia,Dokdonia,Capnocytophaga,Aureitalea,Maribacter,Riemerella,Myroides,Flavobacterium,Mariniflexile,Polaribacter,Chryseobacterium,Ornithobacterium,Salinivirga,Draconibacterium,Alkalitalea,None.94,Paludibacter,Proteiniphilum,Fermentimonas,Petrimonas,Porphyromonas,Muribaculum,Prevotella,Barnesiella,Odoribacter,Mucinivorans,Alistipes,Tannerella,Parabacteroides,Bacteroides,None.95,Methylacidiphilum,Coraliomargarita,Opitutus,Lacunisphaera,Ereboglobus,Verrucomicrobium,Akkermansia,Acidimicrobium,Conexibacter,Rubrobacter,Euzebya,Acidothermus,None.96,Jiangella,Nakamurella,Actinopolyspora,Blastococcus,Modestobacter,Geodermatophilus,Stackebrandtia,Kineococcus,Catenulispora,Jatrophihabitans,Frankia,Candidatus_Nanopelagicus,Candidatus_Planktophila,Verrucosispora,Plantactinospora,Salinispora,Actinoplanes,Micromonospora,Streptosporangium,Nonomuraea,Actinomadura,Thermomonospora,Thermobifida,Nocardiopsis,Saccharothrix,Saccharopolyspora,Alloactinosynnema,Prauserella,Actinosynnema,Kibdelosporangium,Lentzea,Pseudonocardia,Kutzneria,Saccharomonospora,Actinoalloteichus,Amycolatopsis,Allokutzneria,Kitasatospora,Streptacidiphilus,Streptomyces,Actinopolymorpha,Kribbella,Friedmanniella,Pimelobacter,Marmoricola,Nocardioides,Aeromicrobium,Micropruina,Auraticoccus,Microlunatus,Pseudopropionibacterium,Propionimicrobium,Tessaracoccus,Acidipropionibacterium,Propionibacterium,Cutibacterium,Tsukamurella,Dietzia,Gordonia,Segniliparus,Nocardia,Rhodococcus,Mycolicibacter,Hoyosella,Mycobacteroides,Mycolicibacterium,Mycobacterium,Corynebacterium,None.97,Paraoerskovia,Cellulomonas,Dermatophilus,Austwickia,Jonesia,Beutenbergia,Miniimonas,Cellulosimicrobium,Xylanimonas,Isoptericola,Sanguibacter,Brevibacterium,Devriesea,Dermabacter,Brachybacterium,Serinicoccus,Arsenicicoccus,Ornithinimicrobium,Phycicoccus,Janibacter,Intrasporangium,Dermacoccus,Kytococcus,Luteipulveratus,Candidatus_Aquiluna,Rhodoluna,Aurantimicrobium,Mycetocola,Humibacter,Microcella,Pontimonas,Clavibacter,Frondihabitans,Salinibacterium,Leifsonia,Microterricola,Cnuibacter,Cryobacterium,Rathayibacter,Curtobacterium,Agrococcus,Agromyces,Plantibacter,Microbacterium,Auritidibacter,Paenarthrobacter,Zhihengliuella,Renibacterium,Sinomonas,Neomicrococcus,Glutamicibacter,Psychromicrobium,Pseudarthrobacter,Kocuria,Micrococcus,Arthrobacter,Rothia,Arcanobacterium,Mobiluncus,Actinotignum,Trueperella,Actinomyces,Scardovia,Gardnerella,Parascardovia,Bifidobacterium,Coriobacterium,Collinsella,Libanicoccus,Atopobium,Olsenella,Phoenicibacter,Denitrobacterium,Slackia,Cryptobacterium,Adlercreutzia,Gordonibacter,Eggerthella,Limnochorda,None.98,Pelosinus,Megamonas,Selenomonas,Negativicoccus,Dialister,Veillonella,Megasphaera,Acidaminococcus,None.99,Gottschalkia,Anaerococcus,Peptoniphilus,Murdochiella,Finegoldia,Parvimonas,Faecalibaculum,Turicibacter,Erysipelothrix,Faecalitalea,Halobacteroides,Acetohalobium,Halanaerobium,Halothermothrix,Natranaerobius,Thermodesulfobium,Mahella,Caldicellulosiruptor,Thermosediminibacter,Thermoanaerobacterium,Thermoanaerobacter,Caldanaerobacter,Thermanaeromonas,Carboxydothermus,Tepidanaerobacter,Ammonifex,Moorella,Thermacetogenium,Syntrophothermus,Syntrophomonas,Carboxydocella,Symbiobacterium,Heliobacterium,Fastidiosipila,Ruminiclostridium,Thermoclostridium,Pseudoclostridium,Hungateiclostridium,Mageeibacillus,Thermaerobacter,Desulfallas,Syntrophobotulus,Thermincola,Dehalobacter,Desulfofarcimen,Candidatus_Desulforudis,Desulfitobacterium,Dehalobacterium,Desulfosporosinus,Desulfotomaculum,Mogibacterium,Christensenella,Acetoanaerobium,Peptoclostridium,Paeniclostridium,Filifactor,Clostridioides,Candidatus_Arthromitus,Alkaliphilus,Geosporobacter,Clostridium,Mordavella,None.100,None.101,Oscillibacter,Ethanoligenens,Ruminococcus,Faecalibacterium,Flavonifractor,Cellulosilyticum,Herbinix,Lachnoanaerobaculum,Butyrivibrio,Anaerotignum,Anaerostipes,Roseburia,Blautia,Lachnoclostridium,Acetobacterium,Eubacterium,None.102,Novibacillus,Laceyella,Kyrpidia,Tumebacillus,Alicyclobacillus,Brochothrix,Listeria,Paenisporosarcina,Kurthia,Planococcus,Jeotgalibacillus,Sporosarcina,Rummeliibacillus,Solibacillus,Auricoccus,Salinicoccus,Jeotgalicoccus,Macrococcus,Staphylococcus,Aneurinibacillus,Thermobacillus,Brevibacillus,Paenibacillus,Parageobacillus,Amphibacillus,Salimicrobium,Paraliobacillus,Halobacillus,Fictibacillus,Lentibacillus,Oceanobacillus,Anoxybacillus,Aeribacillus,Virgibacillus,Terribacillus,Lysinibacillus,Geobacillus,Bacillus,None.103,Aerococcus,Marinilactibacillus,Jeotgalibaca,Carnobacterium,Oenococcus,Weissella,Leuconostoc,Melissococcus,Tetragenococcus,Vagococcus,Enterococcus,Pediococcus,Lactobacillus,Lactococcus,Streptococcus,Hominidae,None.104,None.105,None.106,None.107,None.108,None.109,None.110,None.111,None.112,None.113,None.114,None.115,None.116,None.117,None.118,None.119,None.120,None.121,None.122,None.123,None.124,None.125,None.126,None.127,None.128,None.129,None.130,None.131,None.132,None.133,None.134,None.135,None.136,None.137,None.138,None.139,None.140,None.141,None.142,None.143,None.144,None.145,None.146,None.147,None.148,None.149,None.150,None.151,None.152,Candidatus_Nitrosocaldus,None.153,None.154,None.155,None.156,Acidilobus,Acidianus,Sulfurisphaera,Metallosphaera,Sulfolobus,Staphylothermus,Thermosphaera,Thermogladius,Ignicoccus,Pyrolobus,Hyperthermus,Pyrodictium,Vulcanisaeta,Pyrobaculum,Thermoproteus,Thermofilum,None.157,Ferroglobus,Archaeoglobus,Geoglobus,Methanopyrus,Candidatus_Methanomethylophilus,Methanomassiliicoccus,Picrophilus,Cuniculiplasma,Methanothermococcus,Methanococcus,Methanotorris,Methanocaldococcus,Palaeococcus,Pyrococcus,Thermococcus,Methanothermus,Methanothermobacter,Methanosphaera,Methanobacterium,Methanobrevibacter,Methanothrix,Methanohalobium,Methanomethylovorans,Methanolobus,Methanosarcina,Methanococcoides,Methanosalsum,Methanohalophilus,Methanospirillum,Methanolinea,Methanosphaerula,Methanoregula,Methanoculleus,Methanoplanus,Methanolacinia,Methanofollis,Methanocorpusculum,Methanocella,Halanaeroarchaeum,Halalkalicoccus,Halobacterium,Halodesulfurarchaeum,Haloarcula,Halorientalis,Halorhabdus,Halomicrobium,Natronomonas,Haloquadratum,Halogeometricum,Haloplanus,Haloferax,Halopenitus,Salinigranum,Halorubrum,Halohasta,Natronobacterium,Halobiforma,Natronolimnobius,Halostagnicola,Salinarchaeum,Natrialba,Natrinema,Haloterrigena,Natronococcus,Other
cov1d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,286,351,2025,2461,3776,294807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,1198,0,0,0,0,0,0,0,0,0,122,262,422,787,0,19008,0,190339,212118,0,0,0,0,0,0,0,1161955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15018,0,0,0,0,25015,0,0,1212,356152,78,585,275,783,8081,93,119,230,267,6014,16093,586058,0,0,0,0,0,0,0,0,215,237,0,0,0,0,0,68,620,0,0,622,51832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652,2118,0,0,220,315,5719,0,0,0,3517,5543,664,5020,14221,102,1421,5925,20400,0,0,0,0,353,1124,2280,6799,67743,0,216217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,771,0,0,0,0,0,77,92,0,0,95,110887,0,189604,386,468722,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cov1d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,20,0,38,0,0,38,21,22,33,0,0,22,32,0,0,15,0,0,0,0,40,63,119,0,0,0,11,41,49613,0,0,0,0,14,43,0,12,0,0,12,18,0,0,0,0,14,16,21,12,0,57,0,0,0,26,42,16,10,12,0,16,0,16,0,21,0,0,15,47,0,0,13,0,0,71,0,73,0,0,30,34,85,95,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,13,59,0,0,0,0,0,0,28,0,50,53,0,0,0,63,71,108,22156,0,16,17,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,11,36,43,18,27,170,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,17,20,21,23,33,42,81,102,0,13,33,42,0,0,0,0,21,46,98,105,174,0,0,0,0,0,0,21,27,31,40,51,0,0,0,0,0,0,20,53,61,108,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,18,38,0,0,0,0,19,36,0,20,38,0,0,0,0,12,20,28,37,0,15,15,31,73,122,0,70,22,101,24,80,197,0,0,0,0,10,0,0,0,0,12,0,0,0,11,20,15,24,0,24,24,36,87,0,0,0,0,0,37,39,49,0,0,0,0,0,42,133,0,0,0,52,0,0,0,0,0,15,16,22,26,124,248,0,0,0,0,0,0,0,0,0,11,16,46,47,59,102,111,130,13,15,17,20,23,32,0,0,65,103,145,164,226,430,0,0,21,45,56,787,0,0,0,25,0,0,0,61,0,0,0,0,0,0,736,0,0,0,0,0,18,0,0,25,66,43,27,0,24,46,24,0,0,16,26,53,33,81,75,80,0,271,0,0,18,27,53,0,0,34,436,15,178,0,322,56920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,26,0,0,13,13,17,0,0,0,0,0,0,11,13,0,27,28,15,18,0,0,0,0,0,0,23,24,37,50,0,0,0,0,12,18,29,67,0,0,0,0,0,0,0,69,0,16,23,27,0,0,0,13,17,33,0,0,0,0,12,18,24,0,0,0,0,0,11,16,0,17,0,0,0,0,24,0,0,0,0,0,0,15,49,94,0,0,0,18,276,0,0,0,0,75,220,0,0,0,0,12,16,0,0,19,30,59,159,0,0,185,0,18,1373,0,0,0,13,0,0,20,0,0,0,19,48,0,0,0,13,29,30,0,18,35,43,48,0,0,0,80,369,0,0,0,0,0,0,0,0,0,0,0,0,15,21,23,25,74,50,326,689,546,3219,3279,75868,0,12,10,14,0,0,0,28,50,0,0,0,11,20,22,26,0,0,0,19,19,0,0,0,0,23,0,0,0,0,0,0,0,26,39,48,22,38,133,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,59,79,145,370,1420,1426,2776,0,19,22,10,13,22,26,32,93,142,608,538,1848,65,53011,96,238497,462759,0,0,0,12,16,17,37,400441,0,0,11,21,0,0,0,0,0,0,0,11,11,13,19,0,45,18,27,0,0,11,18,39,0,12,0,16,0,43,0,0,0,0,0,10,10,12,13,13,22,39,70,18,24,456,0,0,0,0,0,11,14,24,0,0,0,13,14,16,18,27,0,0,15,19,44,82,0,0,0,47,99,222,21,0,0,0,0,0,0,0,0,0,0,0,15,0,0,19,0,0,0,0,0,19,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,25,26,47,80,0,0,0,0,0,0,0,0,0,15,18,84,398,0,0,14,27,479,0,0,416,70642,20,133,158,21,789,61,125,210,30,336,3380,35411,18,48,32,21,137,12,59,65,133,375,0,0,0,0,36,40,23,15,110,121,2530,0,0,0,10,11,0,33,0,14,55,0,0,0,0,0,0,11,58,0,0,0,35,101,0,0,0,25,31,74,40,0,0,0,0,17,20,75,93,120,139,35,758,12,18,92,16,2455,0,12,29,4062,4455,258,5042,76281,126,737,4543,9842,11,18,23,90,70,408,1216,3935,262643,16,57111,0,0,18,0,12,14,0,41,0,0,0,11,16,36,171,0,0,0,0,369,0,14,31,333,0,0,0,0,0,0,0,0,0,0,0,14,47,78,345,0,22,0,0,38,0,38,0,0,80,19,46578,185,702853,77,12806,4753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,11,31
